item,weight
光荣,7
两人,156
数年,4
卢氏县,1
就任,5
米,76
山城,1
鉴于,42
继任者,1
平移,1
重点项目,5
县委,24
感情,38
走访,60
揣着,2
城南,8
削弱,2
打桩,2
刚到,5
亢建民,1
距离,82
牵出,6
定时炸弹,4
感慨,12
坐在,49
沦为,6
汪洋大海,2
塑料袋,10
无望,4
种种原因,3
院内,14
危房,7
中心地带,1
集体,36
卢园,1
其带,4
一排,3
地块,7
决定,216
最大,107
听闻,9
洪灾,5
败笔,1
车,251
系有,2
建房,14
建于,4
附近,254
主流,14
角度,29
大型,52
完工,14
票数,1
长方形,3
称号,10
危害,91
备受,20
北京青年报,9
人口,19
裸露,7
身着,13
度日,4
平级,2
靠,70
分散,11
口号,11
旅游,56
不敢,90
城区,63
处于,80
贫困县,7
已有,51
当年,42
工作效率,2
干涸,2
交织,4
退休,27
荣获,5
一共,36
中组部,2
事业单位,7
桂林山水,1
相提并论,2
米左右,10
干部,78
演出,9
阶段,46
旁边,96
规划,48
时任,28
杜保乾,1
调任,3
位于,143
学校,110
中轴线,2
罪状,1
假如,11
留下,90
科级,2
大楼,28
底层,8
淹没,10
大声,22
数轮,1
鞭炮声,3
停留,15
楼房,20
但是,383
风水先生,2
一片,35
作出,163
拥有,65
临时,62
错误,69
万一,23
人士,67
宾馆,35
副县长,15
地方,199
熟悉,45
工作,447
鞭炮,8
南山,4
退休干部,2
斜,5
旅游名县,1
家庭,119
郭英辉,1
贪腐,12
批下来,2
另据,16
已以,2
副县级,3
三层,6
宣传部,9
坐过,4
组织,233
太过,11
他家,25
地基,4
半空中,2
反对,38
系,147
已难,1
太,163
厉害,22
考证,1
而立,2
审查,103
贾世煜,1
宣布,56
大片,10
容纳,4
毕业,38
垃圾场,6
公告,49
漫出,1
旭东,2
水都,1
人大常委会,8
协助,66
子女,36
侃侃而谈,2
塌,10
门口,90
阳光,29
圈起来,2
大不如前,1
公开,167
屋后,7
烟头,12
庆祝,6
能力,111
其间,24
省去,2
改善,25
抓走,5
一带,19
售楼部,3
权力,36
在此之前,11
失落,4
河道,16
山西,32
农牧局,1
漂亮,13
行洪,1
境地,5
县直,1
列出,7
现任,14
重新,77
城东,6
一次,222
少,67
乡长,3
至今,107
直,12
国土资源,8
之隔,2
提升,45
陷入,41
消息,216
问道,9
听到,100
河势,1
政法委,9
数百根,1
建筑物,13
野草,2
瞎,11
农业,21
解决,142
风情,2
低调,14
县委书记,7
地上,79
院子,15
特殊,47
正南方,1
当时,313
房子,72
确有此事,2
清理,61
方义,1
红色,29
村民,112
改造,44
先后,145
调动,4
深耕,2
东大街,2
人民满意,1
齐全,12
镜头,9
空闲,2
奚落,2
赶走,4
流传,25
违纪,46
范围,129
目前为止,11
卢氏,1
座,14
任职,22
渑池县,2
大门,32
闲置,8
向南,4
中央,84
楼上,20
突出重围,1
绝不会,4
文明,58
拉到,2
盖楼,1
无俩,1
散步,5
小河,6
没想到,134
售楼处,5
官运亨通,1
想到,66
两米,8
经历,85
选择,172
马书军,1
分为,19
两难,3
电线,29
山,21
时期,29
木桥,1
用作,12
入口处,9
离开,165
眼,8
院中,1
分布,17
内遍,1
洪水,13
找人,11
调离,7
回迁房,3
旁,33
损害,81
面带微笑,3
年前,39
采访,88
政情,2
均,223
汽车,136
调入,3
密布,1
佛光,1
国有土地,4
国家级,6
举,15
成员,65
过来,80
转而,4
访谈,5
此地,5
遇到,173
力推,3
提及,22
城,35
纪委,65
亮化,2
较大,67
办公室,96
会议,67
干部作风,2
堤防,1
北向南,2
建,26
当中,53
意见,104
山上,8
写信,5
复,1
许可证,43
五证,2
某些,39
满山,1
透露,74
言辞,5
刚,107
绝对,28
居民楼,18
艰苦奋斗,2
跟,194
小院,3
凤凰,12
士别三日,1
两桌,1
引进,13
团,12
刺身,1
忙,38
食品安全,16
店里,22
甲,10
不难,7
牛肉,6
